resolution,target_patches,mse_loss,cosine_similarity,l2_norm_diff,interpolation_ratio
224x224,196,0.0,1.0000085830688477,0.0,1.0
288x288,324,0.00014249744708649814,0.9994346499443054,4.631385326385498,1.653061224489796
320x224,280,3.851380824926309e-05,0.9998557567596436,2.4077680110931396,1.4285714285714286
384x384,576,3.841892976197414e-05,0.9998680353164673,2.4048011302948,2.938775510204082
448x320,560,4.613131386577152e-05,0.9998393654823303,2.635145902633667,2.857142857142857
512x512,1024,1.088228054868523e-05,0.9999690055847168,1.2798691987991333,5.224489795918367
