epoch,model,train_loss,train_acc,test_loss,test_acc
1,ViT,2.828433460072626,37.15,0.9891604892909527,74.8
1,DeiT,3.241359576394286,32.69,1.8721570745110512,61.4
2,ViT,0.6548911019971099,82.71,0.611611757427454,82.2
2,DeiT,1.3086849639687357,71.49,1.054051697254181,74.6
3,ViT,0.3137832368853726,91.48,0.48969752341508865,85.8
3,DeiT,0.7097507560554939,83.19,0.8554803431034088,77.6
4,ViT,0.16981151935797703,95.78,0.42714699916541576,87.25
4,DeiT,0.443270623400996,89.82,0.7332494892179966,80.1
5,ViT,0.11554797639763809,97.59,0.4114509643986821,87.9
5,DeiT,0.3326531303457067,93.17,0.709612537175417,81.05
