epoch,model,train_loss,train_acc,test_loss,test_acc
1,ViT,2.8608367527917067,24.44797535071461,2.9938180872006694,22.853860789697745
1,DeiT,2.6328067734285994,28.064584847778484,2.932632313067618,26.51373674108221
2,ViT,2.3779774583627895,32.17991641342591,2.859546805438236,29.264517392562585
2,DeiT,2.594258886422465,37.326816809166225,2.7011806976543165,26.854677330051814
3,ViT,2.3694074282553697,39.055083148618394,2.4770195851128674,38.676728141177755
3,DeiT,2.026790192217678,44.85580931379402,2.2988102998057336,41.502871521444966
4,ViT,1.8793078786504551,47.061713933400306,2.2242109635078116,46.211666857936486
4,DeiT,1.7963844595647311,52.549898168380906,2.0889989187327425,45.41264149474667
5,ViT,1.4222806140321909,56.19253494570763,2.006904150991311,51.279592761106024
5,DeiT,1.4295328495413713,64.39628432922473,2.086965732478821,57.25237954467373
